num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
121,1.3,-0.5,0,0,-1.3,0.5,1.392838827718412,2.5674406344058447,-0.797407395818887
122,1.5,-0.6,0,0,-1.5,0.6,1.6155494421403511,1.9458059511516392,-0.8667551546262647
123,1.8,-0.7,0,0,-1.8,0.7,1.9313207915827966,2.306893037078195,-0.8597300357810032
124,1.9,-0.7,0,0,-1.9,0.7,2.0248456731316584,1.8439914481647526,-0.5593212778568265
125,2.1,-0.6,0,0,-2.1,0.6,2.1840329667841556,2.354855235496446,-0.14202392200664482
126,2.2,-0.4,0,0,-2.2,0.4,2.23606797749979,2.097367968102054,0.3872864787971092
127,2.3,-0.3,0,0,-2.3,0.3,2.3194827009486403,2.1737368238239014,0.004689076450322127
128,2.3,-0.1,0,0,-2.3,0.1,2.3021728866442674,1.8340366349220276,0.48974332537599824
129,2.4,0.0,0,0,-2.4,0.0,2.4,2.2584879727574414,0.08400582673273727
130,2.5,0.0,0,0,-2.5,0.0,2.5,2.4407398501800315,-0.23025993561744662
131,2.6,0.0,0,0,-2.6,0.0,2.6,2.5354815604107532,-0.23025993561744662
132,2.8,-0.1,0,0,-2.8,0.1,2.80178514522438,3.085535704000248,-0.6737668289460012
133,2.8,-0.2,0,0,-2.8,0.2,2.80713376952364,2.3616421546936035,-0.7180212858427137
134,2.9,-0.2,0,0,-2.9,0.2,2.9068883707497264,2.8730073271479277,-0.34215525507926914
135,2.7,-0.1,0,0,-2.7,0.1,2.701851217221259,1.8105639980741186,0.017750958516804916
136,2.7,0.0,0,0,-2.7,0.0,2.7,2.4865531547069555,0.1506894530191144
137,2.6,0.0,0,0,-2.6,0.0,2.6,2.1174380393603083,-0.24264405536651584
138,2.4,0.1,0,0,-2.4,-0.1,2.4020824298928627,1.6120226592859046,0.22073066271144076
139,2.3,0.1,0,0,-2.3,-0.1,2.3021728866442674,2.0463187567322025,-0.18772886323928806
140,2.3,0.1,0,0,-2.3,-0.1,2.3021728866442674,2.4741744945049287,-0.18574829602241488
141,2.2,0.0,0,0,-2.2,0.0,2.2,2.1672614644269292,-0.5475240380068491
142,2.2,0.0,0,0,-2.2,0.0,2.2,2.5198849713802343,-0.23674829602241487
143,2.1,-0.2,0,0,-2.1,0.2,2.1095023109728985,2.1217057354485465,-1.1207639200616928
144,2.2,-0.4,0,0,-2.2,0.4,2.23606797749979,2.987234916517021,-1.2143376230177896
145,2.1,-0.6,0,0,-2.1,0.6,2.1840329667841556,2.2130453487384942,-1.3364756389163677
146,2.0,-0.7,0,0,-2.0,0.7,2.118962010041709,2.1868682049912875,-1.030364947636657
147,2.0,-0.6,0,0,-2.0,0.6,2.08806130178211,2.635100263118744,-0.2818236128371296
148,1.9,-0.5,0,0,-1.9,0.5,1.96468827043885,2.2248950644561685,-0.15781342063635967
149,1.7,-0.3,0,0,-1.7,0.3,1.7262676501632068,1.8151084989337447,0.2813068937035089
150,1.5,-0.2,0,0,-1.5,0.2,1.5132745950421556,1.6556185716538245,0.001498812370071434
151,1.3,-0.1,0,0,-1.3,0.1,1.3038404810405297,1.6557485488888655,0.012798203158526644
152,1.0,-0.1,0,0,-1.0,0.1,1.004987562112089,1.0780986404742212,-0.36422406935691803
153,0.9,-0.1,0,0,-0.9,0.1,0.9055385138137417,1.8447949234108825,-0.36618975853919955
154,0.6,-0.1,0,0,-0.6,0.1,0.6082762530298219,1.14760025830433,-0.36862917971611
